MovieID,Movie_Title,Avg_Rating,Total_Ratings
3490,Horror Express,2.3166666626930237,6
3363,American Graffiti,2.250000019868215,6
3305,Bluebeard,2.2125000208616257,8
3208,Loaded Weapon 1,2.199999988079071,6
1170,Best of the Best 3: No Turning Back,2.166666646798452,6
491,"Man Without a Face, The",2.0714286054883684,7
324,"Sum of Us, The",2.0666666626930237,6
1682,"Truman Show, The",2.050000011920929,6
3375,Destination Moon,2.0333333611488342,6
2118,"Dead Zone, The",1.9666666587193806,6
1477,Love Jones,1.9333333174387615,6
